review_batch,area_id,spatial_validation_zone,candidate_origin,experimental_reliability_score_v3,experimental_reliability_class_v3,experimental_reliability_label_v3,area_ha_raw,area_bin_raw,n_points,n_parts,n_points_bin,n_parts_bin,current_high_confidence_v2,identity_reference_match,strict_reference_match,large_polygon_flag,small_candidate_flag,complex_boundary_flag,reliability_model_version,reliability_model_status
high_top,5a705437-4421-4c9f-be91-f3316855ede1,central_calabria,added_candidate,0.8493495658923083,high,Alta affidabilità diagnostica,32.38305258751779,ge_5_00_ha,334,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
high_top,cc1ad323-017a-49cb-ab2c-48253c746f5e,north_calabria,added_candidate,0.8493388316350665,high,Alta affidabilità diagnostica,23.034962741941694,ge_5_00_ha,1527,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
high_top,7b214e98-0d83-475e-aee3-a65309e28296,central_calabria,added_candidate,0.8491746946624879,high,Alta affidabilità diagnostica,25.882279713803605,ge_5_00_ha,210,1,101_250,singlepart,False,False,False,True,False,False,regional_reliability_score_exp_v3,experimental
high_top,15194ff5-6d2e-45cd-9b3c-107a118f96e7,central_calabria,added_candidate,0.8491504445113319,high,Alta affidabilità diagnostica,33.09617019630691,ge_5_00_ha,487,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
high_top,ca78da9b-c602-4b83-9217-db2f5ebde94c,south_calabria,added_candidate,0.8490569977748134,high,Alta affidabilità diagnostica,40.29541997380211,ge_5_00_ha,1296,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
high_top,5914f7c0-a143-4964-a4f1-8e34af8ef9b9,central_calabria,added_candidate,0.849055172674209,high,Alta affidabilità diagnostica,31.575223940605948,ge_5_00_ha,701,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
high_top,cace545c-b16a-4c00-988f-af75afc1ba1b,central_calabria,added_candidate,0.8489481377921808,high,Alta affidabilità diagnostica,25.37530192145795,ge_5_00_ha,946,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
high_top,4d990997-c625-436f-87c8-84463171e259,central_calabria,added_candidate,0.848905804906839,high,Alta affidabilità diagnostica,33.266256915515804,ge_5_00_ha,385,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
high_top,d6aeea89-c320-4721-ae6d-5c0d99f40be6,central_calabria,added_candidate,0.8488441560985398,high,Alta affidabilità diagnostica,30.750993014978427,ge_5_00_ha,419,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
high_top,d143cb50-c3d9-48d5-af35-a9f086ffddd0,central_calabria,added_candidate,0.8487002458842696,high,Alta affidabilità diagnostica,31.018841168622206,ge_5_00_ha,272,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
high_top,850fcd4c-81b7-4133-94b4-3147b9f259b8,south_calabria,added_candidate,0.8486919526877168,high,Alta affidabilità diagnostica,45.320613187250615,ge_5_00_ha,1203,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
high_top,512e0b67-6240-4b14-80c1-9782476db029,central_calabria,added_candidate,0.8486802778073248,high,Alta affidabilità diagnostica,31.216770976958074,ge_5_00_ha,265,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
high_top,25ca5714-6baa-462e-b4c7-5ee13f867c1f,central_calabria,added_candidate,0.8481770908048492,high,Alta affidabilità diagnostica,27.16469083315081,ge_5_00_ha,397,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
high_top,5db5675f-282f-43f2-b82b-3b9b1502abeb,central_calabria,added_candidate,0.8477767707728618,high,Alta affidabilità diagnostica,30.524969001344378,ge_5_00_ha,771,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
high_top,90335388-09d4-4903-908a-a3a3ecb6c8dc,north_calabria,added_candidate,0.8475316911985639,high,Alta affidabilità diagnostica,19.66217841375723,ge_5_00_ha,2142,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
high_top,a187911c-a118-4e90-8dbd-a0db8c767f5c,north_calabria,added_candidate,0.8474530896298095,high,Alta affidabilità diagnostica,24.260813583694684,ge_5_00_ha,1540,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
high_top,a5529076-fcaf-4e35-bbab-255d7ade008e,south_calabria,added_candidate,0.8473459308360709,high,Alta affidabilità diagnostica,51.09145726582783,ge_5_00_ha,398,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
high_top,f89cc09f-0959-4d28-9a59-a7212ebbce27,central_calabria,added_candidate,0.8470887997248594,high,Alta affidabilità diagnostica,33.573378602621446,ge_5_00_ha,547,1,gt_250,singlepart,False,False,False,True,False,True,regional_reliability_score_exp_v3,experimental
