,area_ha_raw,perimeter_m_raw,compactness_raw,n_points,n_parts,approx_centroid_lat,n_observations,ndvi_median,ndvi_p25,ndvi_p75,ndvi_stddev,evi_median,evi_p25,evi_p75,evi_stddev,ndmi_median,ndmi_p25,ndmi_p75,ndmi_stddev,bsi_median,bsi_p25,bsi_p75,bsi_stddev
ndvi_stddev,0.034927628031076303,-0.007427848807159152,0.09765905627974593,0.020151418731588645,,0.1415865484831002,0.11727647390454132,-0.5559661766558318,-0.6671901637418879,-0.09318812767088629,1.0,-0.4727856383028797,-0.5619454653937412,-0.04494714149886564,0.6607319365940055,-0.5334356299873542,-0.6028752442545546,0.026589867969178314,0.928771942565046,0.5343221412186929,-0.007877918222745809,0.6096105061622303,0.9110254006805731
evi_median,0.00464297705677016,0.05357915013087427,-0.13232964267447025,-0.012482039602739343,,-0.18792182240458102,-0.21394661024055497,0.9515727101933998,0.9135140514450859,0.8018317466593329,-0.4727856383028797,1.0,0.972009627182041,0.8310333620678448,0.06263755918928332,0.9184836426215737,0.86375753272305,0.706461678875472,-0.3489650868961214,-0.9356563908288046,-0.7325841739634843,-0.8829172208482553,-0.26452901625315417
evi_p25,0.02765676558780007,0.07845310603931294,-0.1498405705302257,0.01443789176537112,,-0.2028106924658649,-0.21923022446529206,0.9323696289213531,0.9438221920980542,0.7526500974776836,-0.5619454653937412,0.972009627182041,1.0,0.7553246932557277,-0.06621874897736967,0.9187667739391877,0.9089434261848055,0.6726189691706933,-0.43487132452649696,-0.9281599557461626,-0.6937876524083421,-0.9240008481387791,-0.3483954173609346
evi_p75,0.04112011698218595,0.09211083004186453,-0.15379544345061585,-0.009074114021543078,,-0.19344960724271068,-0.22337277814691642,0.7323589599451669,0.6443189270775478,0.8962966549173446,-0.04494714149886564,0.8310333620678448,0.7553246932557277,1.0,0.5002056243435554,0.705345112241664,0.6290920566782636,0.8594506732437767,0.06965164896199379,-0.7242770760012139,-0.8816460885426403,-0.6453230660127212,0.15691526726009486
evi_stddev,0.08497606428640911,0.09445692893968756,-0.057500133362202326,0.0016147996012450586,,-0.07681349060659405,-0.1171435922665645,-0.027994227994227995,-0.15618260445846652,0.3547308167997823,0.6607319365940055,0.06263755918928332,-0.06621874897736967,0.5002056243435554,1.0,-0.06239190377121412,-0.15100483376345444,0.36666751839165634,0.6793316379523276,0.044745058538161984,-0.3760069070413898,0.1409880099535272,0.6983371190267742
ndmi_median,-0.005085515430343017,0.03342841273875757,-0.09925115442356822,-0.007069937113751615,,-0.0935998246343074,-0.1975818151042093,0.91757525550629,0.8988555954073195,0.7446989309058275,-0.5334356299873542,0.9184836426215737,0.9187667739391877,0.705345112241664,-0.06239190377121412,1.0,0.9663179525248491,0.733119953809609,-0.45125940988009955,-0.9936610143506696,-0.744145220007289,-0.9691388656905898,-0.36147414768104424
ndmi_p25,0.03443380684759995,0.07814361607465056,-0.13620418448004654,0.012748498123360092,,-0.129392536289088,-0.22253379468770645,0.8568902982696086,0.8856384373625753,0.6631764769695804,-0.6028752442545546,0.86375753272305,0.9089434261848055,0.6290920566782636,-0.15100483376345444,0.9663179525248491,1.0,0.6739743774226533,-0.5395788085443258,-0.950767964561068,-0.6802766044145354,-0.9924945993911511,-0.44636728085003946
ndmi_p75,0.04655161206885345,0.07915456880974123,-0.10855539821057063,0.026783922762531165,,-0.07266567956223129,-0.13158250028947951,0.6478943789288617,0.5800104627690834,0.8940882665020596,0.026589867969178314,0.706461678875472,0.6726189691706933,0.8594506732437767,0.36666751839165634,0.733119953809609,0.6739743774226533,1.0,0.13087812398157225,-0.726453188522154,-0.9947777602950016,-0.6715805819254095,0.2289694082797531
ndmi_stddev,0.0781556298797678,0.039165811579604685,0.0664654802585837,0.027270487497190923,,0.10085580430408017,0.08654405340532892,-0.41059321748976924,-0.5118183118183118,0.05309770137356344,0.928771942565046,-0.3489650868961214,-0.43487132452649696,0.06965164896199379,0.6793316379523276,-0.45125940988009955,-0.5395788085443258,0.13087812398157225,1.0,0.43958199130612924,-0.11982847155260948,0.5320870355353114,0.9886682921165679
bsi_median,-0.0029104787725477382,-0.042515870102077,0.10731528662563146,0.009216846849547194,,0.1202858926996858,0.21671166014064225,-0.9399325882084503,-0.9139992657234036,-0.762069817242231,0.5343221412186929,-0.9356563908288046,-0.9281599557461626,-0.7242770760012139,0.044745058538161984,-0.9936610143506696,-0.950767964561068,-0.726453188522154,0.43958199130612924,1.0,0.7448656896932759,0.965115675460503,0.3551640310261
