area_id,source_geometry_id,spatial_validation_zone,previous_evi_stddev,recomputed_evi_stddev,evi_median,evi_p25,evi_p75,n_observations,spectral_flag,usable_for_baseline_spectral,source_view,computed_at
70905ffd-1444-4dd4-8226-79365d555674,70905ffd-1444-4dd4-8226-79365d555674,south_calabria,2.5408250070728458,0.11881511809830014,0.46436215706375855,0.40001938821967814,0.546495336809286,102,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:30:17.450475+00:00
0d31cac8-e5d1-42eb-8b4b-9ff7fec07835,0d31cac8-e5d1-42eb-8b4b-9ff7fec07835,central_calabria,1.915984503986187,0.136249177773502,0.3468632044998389,0.29027251828192874,0.49347278728856236,238,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:30:17.450475+00:00
ee23359f-eecc-4dcf-80ae-dc5cc38a2fd9,ee23359f-eecc-4dcf-80ae-dc5cc38a2fd9,north_calabria,1.5741829452693534,0.13649117866322813,0.6406650837115535,0.5415745166272518,0.7245860190207994,227,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:30:41.306537+00:00
404c0c21-2daf-4545-9117-41bf98933f66,404c0c21-2daf-4545-9117-41bf98933f66,south_calabria,1.5117032592200972,0.08339443660682852,0.2622044136773151,0.22441810268385576,0.33573914823354173,258,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:30:41.306537+00:00
567c6f97-d0b7-452d-9e14-22ec778ec25e,567c6f97-d0b7-452d-9e14-22ec778ec25e,south_calabria,0.9694823918225407,0.16566588378343633,0.2300147910433811,0.1683401725794135,0.41918065640215657,112,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:30:41.306537+00:00
e22b2926-d5c2-4a06-8dfe-435dd5471df9,e22b2926-d5c2-4a06-8dfe-435dd5471df9,south_calabria,0.9624681016340374,0.1461157870299777,0.5010520487969224,0.4084110127172147,0.5751087171766034,124,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:30:41.306537+00:00
b8574930-f24c-4a25-93e5-46ed42dddf2b,b8574930-f24c-4a25-93e5-46ed42dddf2b,central_calabria,0.9580691772556846,0.10574251797524474,0.4428193790303436,0.37833228803750407,0.5185352868816276,475,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:30:41.306537+00:00
a42f0eb0-9bec-49ea-93b5-6cd9f2109a5c,a42f0eb0-9bec-49ea-93b5-6cd9f2109a5c,central_calabria,0.9248357222500999,0.09198725569757649,0.384510662940977,0.31890822224524945,0.4462790382928368,231,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:30:56.437784+00:00
2521cbb2-b753-401e-9e4a-b45d8b52ad6d,2521cbb2-b753-401e-9e4a-b45d8b52ad6d,north_calabria,0.8308722307432861,0.15168202390462332,0.4929150795024929,0.3986754061581503,0.5606086417220334,120,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:30:56.437784+00:00
c8ac4bae-e730-44d9-a5ff-e11342d014d4,c8ac4bae-e730-44d9-a5ff-e11342d014d4,central_calabria,0.7123174791875231,0.11543505056767747,0.4390354479200992,0.37177277165315964,0.5286717286724012,240,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:30:56.437784+00:00
d771888b-8088-49bd-b04b-7c6fb4121b77,d771888b-8088-49bd-b04b-7c6fb4121b77,central_calabria,0.699589403919169,0.12372132663225154,0.34430586793854817,0.2935100750795138,0.48412456198538506,213,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:30:56.437784+00:00
ce86673e-3dc0-4315-b966-f1a45f91d136,ce86673e-3dc0-4315-b966-f1a45f91d136,south_calabria,0.6600070896432454,0.09515323746830316,0.45874178064932186,0.4024095645649615,0.5270643151872296,111,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:30:56.437784+00:00
e24d0dc2-0eff-4a10-bafa-31b335508f55,e24d0dc2-0eff-4a10-bafa-31b335508f55,south_calabria,0.6545474552938657,0.11888451671422397,0.49351330292924,0.4171390322833662,0.5632428163637799,97,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:31:56.594221+00:00
327b741b-6037-4a42-ac66-0bc8e896d795,327b741b-6037-4a42-ac66-0bc8e896d795,south_calabria,0.6495586134082901,0.1564340025008008,0.5263891444096054,0.4351030248931969,0.6427778615193511,108,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:31:56.594221+00:00
37ac6c4c-1ecc-455d-83f4-5707b064ab63,37ac6c4c-1ecc-455d-83f4-5707b064ab63,central_calabria,0.6416427324144764,0.1022279671661829,0.4089149685556779,0.36325799380470747,0.4930152802288149,119,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:31:56.594221+00:00
15bfd17f-a97a-48d5-880a-472ef7c7a5da,15bfd17f-a97a-48d5-880a-472ef7c7a5da,north_calabria,0.6183046563174401,0.0940940420005285,0.2588719791591232,0.20307364501492473,0.3410390775190527,216,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:31:56.594221+00:00
5135e0e8-0265-4c17-878c-8f118581b24b,5135e0e8-0265-4c17-878c-8f118581b24b,central_calabria,0.6090110810374105,0.14940078504209026,0.40228396668012983,0.31373095807589246,0.5284734323179668,219,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:31:56.594221+00:00
ab7f77a5-34bc-4237-8abe-c3fc26f4ce4f,ab7f77a5-34bc-4237-8abe-c3fc26f4ce4f,south_calabria,0.6038299298972079,0.16473397176541976,0.6004879802999371,0.4541470944352205,0.707146433536768,182,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:32:54.245163+00:00
8846f50e-5fc0-42de-b318-4fd3e71cb7dd,8846f50e-5fc0-42de-b318-4fd3e71cb7dd,central_calabria,0.5977328292614825,0.08331731583639819,0.3646575923467534,0.31574777355564276,0.42567494193734823,108,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:32:54.245163+00:00
da1df024-4316-4cc8-b538-97117246296c,da1df024-4316-4cc8-b538-97117246296c,central_calabria,0.583110124730273,0.10626466142381508,0.44995671384946767,0.3859190057447702,0.5163906653750147,180,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:32:54.245163+00:00
d3e1278b-bb03-48d5-812a-e4df58e3018c,d3e1278b-bb03-48d5-812a-e4df58e3018c,central_calabria,0.578736135683389,0.1124646297081431,0.46128315292025684,0.41165510534234806,0.5283338107319944,110,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:32:54.245163+00:00
cf391824-8d4a-4c70-a080-0ce7202057d5,cf391824-8d4a-4c70-a080-0ce7202057d5,south_calabria,0.5686129856992587,0.10864290334461707,0.4271287192686333,0.37693405604181796,0.5087416227762541,101,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:32:54.245163+00:00
b16e535e-2b61-427f-a464-ec94de35557f,b16e535e-2b61-427f-a464-ec94de35557f,central_calabria,0.5543030624515001,0.1028777728215412,0.4046958724121766,0.3419710246112861,0.4925625551816763,211,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:33:14.515923+00:00
902c7c20-6c4e-48f9-b308-2752a5716992,902c7c20-6c4e-48f9-b308-2752a5716992,north_calabria,0.5382209498844477,0.13318580002339492,0.3828965513237743,0.3085730232941358,0.4816991250307557,222,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:33:14.515923+00:00
e267dfb0-a072-43db-adc0-8181ea02e647,e267dfb0-a072-43db-adc0-8181ea02e647,central_calabria,0.5284965078339352,0.10408944222278792,0.43249927231635277,0.35991589522218553,0.4973017724996864,228,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:33:14.515923+00:00
8e751212-7764-4fbf-9c3e-fb29af4836e6,8e751212-7764-4fbf-9c3e-fb29af4836e6,central_calabria,0.5241971761583815,0.1597644515214326,0.565631616441236,0.4186232466752939,0.6632670244279583,222,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:33:14.515923+00:00
9eb8e93f-43fb-44e2-9b87-0ebae5c93e02,9eb8e93f-43fb-44e2-9b87-0ebae5c93e02,central_calabria,0.51930591890419,0.12887165908798373,0.40481609392244966,0.31209331667317564,0.5203170707843734,226,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:33:14.515923+00:00
7fbd0e87-dd6a-45b5-b4a8-8a09469d67a6,7fbd0e87-dd6a-45b5-b4a8-8a09469d67a6,south_calabria,0.5160948356078517,0.1650227854679927,0.26494582946350387,0.2112132333454233,0.4240579138899835,238,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:33:45.123720+00:00
2a144a4b-9578-4679-b23c-548ca5c67347,2a144a4b-9578-4679-b23c-548ca5c67347,central_calabria,0.5055301546952017,0.15890997996849007,0.34651816150617387,0.2667314916025522,0.49566356311832405,124,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:33:45.123720+00:00
dc1507fa-dd88-4f9d-8230-e573f6076027,dc1507fa-dd88-4f9d-8230-e573f6076027,central_calabria,0.5048418861697656,0.15555013357540376,0.3429013570964205,0.26946886606135884,0.4688404344375411,113,strong,True,regional_evi_mask_recompute_v1,2026-07-16 15:33:45.123720+00:00
