population,feature,training_mean,population_mean,training_sd,standardized_shift,absolute_shift,shift_level
north_calabria,log_n_points,5.672574522412345,5.428627379740141,0.8000627243990243,-0.3049100217179193,0.3049100217179193,moderate
north_calabria,complex_boundary_flag,0.5344827586206896,0.4034142871659384,0.4994249566815037,-0.2624387702321752,0.2624387702321752,moderate
north_calabria,log_n_observations,5.458958239074294,5.587496402214175,0.5138271510271801,0.2501583711232917,0.2501583711232917,moderate
north_calabria,small_candidate_flag,0.23891625615763548,0.34010771263083023,0.42694760181789027,0.23701141789375088,0.23701141789375088,minimal
north_calabria,evi_stddev,0.11184922552749688,0.10986412998336144,0.028804730863192365,-0.06891560811880586,0.06891560811880586,minimal
north_calabria,evi_iqr,0.15711160905005744,0.15451421125347162,0.04676838108696107,-0.05553747502519337,0.05553747502519337,minimal
north_calabria,ndmi_stddev,0.12375898397624019,0.12250504071164242,0.030255148422807836,-0.04144561603447573,0.04144561603447573,minimal
north_calabria,bsi_stddev,0.1242205393012835,0.12298477934109271,0.030174947214084785,-0.04095317719773754,0.04095317719773754,minimal
north_calabria,ndmi_iqr,0.19112044631875766,0.18893451530559205,0.05880564277233633,-0.03717213026015808,0.03717213026015808,minimal
north_calabria,bsi_iqr,0.1925370092280579,0.1905894895024814,0.05759086568709002,-0.03381646902406377,0.03381646902406377,minimal
north_calabria,ndvi_stddev,0.1400054800304034,0.1392965175528651,0.03211427444750133,-0.022076241476271474,0.022076241476271474,minimal
north_calabria,ndmi_median,0.09235028537441038,0.09310955706700633,0.0798877602873626,0.009504230558783779,0.009504230558783779,minimal
north_calabria,bsi_median,-0.023960056955962476,-0.023236163994657992,0.08114054883597706,0.008921469865428319,0.008921469865428319,minimal
north_calabria,ndvi_median,0.5235408414004824,0.5227862741411009,0.10704012132906258,-0.00704938718316481,0.00704938718316481,minimal
north_calabria,ndvi_iqr,0.22761244896564664,0.22803261795926977,0.07063128245578751,0.005948766311671271,0.005948766311671271,minimal
north_calabria,evi_median,0.3413994937428389,0.3416456821772119,0.07516543341529425,0.0032752878974675746,0.0032752878974675746,minimal
south_calabria,log_n_points,5.672574522412345,4.597380385709401,0.8000627243990243,-1.3438873027244063,1.3438873027244063,very_high
south_calabria,complex_boundary_flag,0.5344827586206896,0.1480609939759036,0.4994249566815037,-0.7737333897216859,0.7737333897216859,high
south_calabria,log_n_observations,5.458958239074294,5.123942199329505,0.5138271510271801,-0.6520014348698107,0.6520014348698107,high
south_calabria,large_polygon_flag,0.43349753694581283,0.2189382530120482,0.4961691107008492,-0.43243176430450336,0.43243176430450336,moderate
south_calabria,evi_stddev,0.11184922552749688,0.12407526907593971,0.028804730863192365,0.4244456789584408,0.4244456789584408,moderate
south_calabria,bsi_median,-0.023960056955962476,-0.05807207395092193,0.08114054883597706,-0.42040653513344817,0.42040653513344817,moderate
south_calabria,ndvi_median,0.5235408414004824,0.5655720288116671,0.10704012132906258,0.39266759874059287,0.39266759874059287,moderate
south_calabria,evi_median,0.3413994937428389,0.3700942360141903,0.07516543341529425,0.38175449761343,0.38175449761343,moderate
south_calabria,evi_iqr,0.15711160905005744,0.17457903455197682,0.04676838108696107,0.3734879227365272,0.3734879227365272,moderate
south_calabria,log_area_ha,1.6796213672148592,1.2923222808312342,1.0578755248269616,-0.3661102627806576,0.3661102627806576,moderate
south_calabria,ndmi_median,0.09235028537441038,0.12105460989259086,0.0798877602873626,0.35930816454146103,0.35930816454146103,moderate
south_calabria,log_perimeter_m,7.115533504692916,6.801511507360303,0.9008774754557171,-0.3485734807319524,0.3485734807319524,moderate
south_calabria,compactness_raw,0.36412982532728994,0.4000349429520362,0.19139350416396214,0.18759841292203525,0.18759841292203525,minimal
south_calabria,ndvi_iqr,0.22761244896564664,0.2169915217767328,0.07063128245578751,-0.15037143344469395,0.15037143344469395,minimal
south_calabria,small_candidate_flag,0.23891625615763548,0.2971573795180723,0.42694760181789027,0.13641281298326374,0.13641281298326374,minimal
south_calabria,bsi_stddev,0.1242205393012835,0.1261198937390198,0.030174947214084785,0.0629447476497899,0.0629447476497899,minimal
south_calabria,bsi_iqr,0.1925370092280579,0.19566672292038487,0.05759086568709002,0.05434392511707909,0.05434392511707909,minimal
south_calabria,ndmi_stddev,0.12375898397624019,0.12502958871193695,0.030255148422807836,0.04199631474089603,0.04199631474089603,minimal
south_calabria,ndmi_iqr,0.19112044631875766,0.1934203071742917,0.05880564277233633,0.03910952669011485,0.03910952669011485,minimal
south_calabria,ndvi_stddev,0.1400054800304034,0.138967887012579,0.03211427444750133,-0.03230940245966275,0.03230940245966275,minimal
