model_name,fold_id,test_n,positive_n,negative_n,best_c,fixed_l1_ratio,precision,recall,specificity,f1,accuracy,roc_auc,brier,log_loss,tn,fp,fn,tp
combined_ridge,38,81,64,17,10.0,0.0,0.9180327868852459,0.875,0.7058823529411765,0.896,0.8395061728395061,0.896139705882353,0.11917165972011724,0.3704221681480657,12,5,8,56
combined_ridge,39,81,64,17,3.0,0.0,0.8695652173913043,0.9375,0.47058823529411764,0.9022556390977443,0.8395061728395061,0.8841911764705882,0.10886235231645888,0.35127234593873397,8,9,4,60
combined_ridge,40,81,63,18,10.0,0.0,0.8266666666666667,0.9841269841269841,0.2777777777777778,0.8985507246376812,0.8271604938271605,0.783068783068783,0.1380226101113341,0.4728597035556593,5,13,1,62
combined_ridge,41,82,64,18,10.0,0.0,0.8611111111111112,0.96875,0.4444444444444444,0.9117647058823529,0.8536585365853658,0.8394097222222222,0.120428241692246,0.3776063003118509,8,10,2,62
combined_ridge,42,81,64,17,1.0,0.0,0.8472222222222222,0.953125,0.35294117647058826,0.8970588235294118,0.8271604938271605,0.8318014705882353,0.12422814046485472,0.3926641822500772,6,11,3,61
combined_ridge,43,81,64,17,10.0,0.0,0.8939393939393939,0.921875,0.5882352941176471,0.9076923076923077,0.8518518518518519,0.8841911764705882,0.10460162369681225,0.33873015038393167,10,7,5,59
combined_ridge,44,81,64,17,3.0,0.0,0.8472222222222222,0.953125,0.35294117647058826,0.8970588235294118,0.8271604938271605,0.8547794117647058,0.11478815837426717,0.3787945565227204,6,11,3,61
combined_ridge,45,81,63,18,10.0,0.0,0.8194444444444444,0.9365079365079365,0.2777777777777778,0.8740740740740741,0.7901234567901234,0.7848324514991181,0.14748844760165603,0.44494834446042586,5,13,4,59
combined_ridge,46,82,64,18,10.0,0.0,0.8472222222222222,0.953125,0.3888888888888889,0.8970588235294118,0.8292682926829268,0.8133680555555556,0.12782090633033566,0.4153468917388008,7,11,3,61
combined_ridge,47,81,64,17,1.0,0.0,0.8591549295774648,0.953125,0.4117647058823529,0.9037037037037037,0.8395061728395061,0.8639705882352942,0.1175373129239175,0.3603402489202513,7,10,3,61
combined_ridge,48,81,64,17,3.0,0.0,0.8493150684931506,0.96875,0.35294117647058826,0.9051094890510949,0.8395061728395061,0.8428308823529411,0.11282992102667094,0.3548234632041309,6,11,2,62
combined_ridge,49,81,64,17,3.0,0.0,0.8970588235294118,0.953125,0.5882352941176471,0.9242424242424242,0.8765432098765432,0.8621323529411764,0.10243401964049682,0.34868812570128715,10,7,3,61
combined_ridge,50,81,63,18,3.0,0.0,0.835820895522388,0.8888888888888888,0.3888888888888889,0.8615384615384616,0.7777777777777778,0.7777777777777777,0.14839447984252646,0.4681930058102566,7,11,7,56
combined_lasso,1,82,64,18,10.0,1.0,0.8461538461538461,0.859375,0.4444444444444444,0.8527131782945736,0.7682926829268293,0.8237847222222222,0.14119980806490406,0.4598428829259682,8,10,9,55
