model_name,fold_id,test_n,positive_n,negative_n,best_c,best_l1_ratio,precision,recall,specificity,f1,accuracy,roc_auc,brier,log_loss,tn,fp,fn,tp
combined_balanced,13,81,64,17,1.0,1.0,0.8852459016393442,0.84375,0.5882352941176471,0.864,0.7901234567901234,0.8134191176470589,0.15746306627798584,0.5294048761853484,10,7,10,54
combined_balanced,14,81,64,17,1.0,0.75,0.9444444444444444,0.796875,0.8235294117647058,0.864406779661017,0.8024691358024691,0.8630514705882353,0.1511874266913151,0.4969485195908392,14,3,13,51
combined_balanced,15,81,63,18,10.0,1.0,0.8723404255319149,0.6507936507936508,0.6666666666666666,0.7454545454545455,0.654320987654321,0.7583774250440918,0.24368334745084655,0.7311650555902726,12,6,22,41
combined_balanced,16,82,64,18,1.0,0.0,0.9464285714285714,0.828125,0.8333333333333334,0.8833333333333333,0.8292682926829268,0.8897569444444444,0.14985871979795617,0.4913687375797848,15,3,11,53
combined_balanced,17,81,64,17,1.0,0.5,0.9482758620689655,0.859375,0.8235294117647058,0.9016393442622951,0.8518518518518519,0.9264705882352942,0.11559156372120744,0.37486349302848654,14,3,9,55
combined_balanced,18,81,64,17,1.0,0.5,0.8571428571428571,0.75,0.5294117647058824,0.8,0.7037037037037037,0.7077205882352942,0.1970608472190956,0.5929268295999315,9,8,16,48
combined_balanced,19,81,64,17,10.0,1.0,0.9344262295081968,0.890625,0.7647058823529411,0.912,0.8641975308641975,0.8740808823529412,0.12341822193351472,0.4350001168126874,13,4,7,57
combined_balanced,20,81,63,18,1.0,0.5,0.9166666666666666,0.6984126984126984,0.7777777777777778,0.7927927927927928,0.7160493827160493,0.828042328042328,0.18101454204067835,0.5421045671856666,14,4,19,44
combined_balanced,21,82,64,18,1.0,0.5,0.9032258064516129,0.875,0.6666666666666666,0.8888888888888888,0.8292682926829268,0.8628472222222222,0.11690641530430247,0.37339169444287823,12,6,8,56
combined_balanced,22,81,64,17,1.0,0.75,0.85,0.796875,0.47058823529411764,0.8225806451612904,0.7283950617283951,0.7693014705882353,0.1633074108205526,0.4974673318582757,8,9,13,51
combined_balanced,23,81,64,17,10.0,0.0,0.92,0.71875,0.7647058823529411,0.8070175438596491,0.7283950617283951,0.8299632352941178,0.18634982734396235,0.6166809035997943,13,4,18,46
combined_balanced,24,81,64,17,1.0,0.5,0.9444444444444444,0.796875,0.8235294117647058,0.864406779661017,0.8024691358024691,0.8566176470588235,0.15845330382525913,0.4815620568401098,14,3,13,51
combined_balanced,25,81,63,18,1.0,0.25,0.9285714285714286,0.8253968253968254,0.7777777777777778,0.8739495798319328,0.8148148148148148,0.8694885361552028,0.14407497739556144,0.4729309235044924,14,4,11,52
combined_balanced,26,82,64,18,1.0,0.0,0.9245283018867925,0.765625,0.7777777777777778,0.8376068376068376,0.7682926829268293,0.8541666666666667,0.16848796205427155,0.5291784703096984,14,4,15,49
combined_balanced,27,81,64,17,1.0,0.75,0.9038461538461539,0.734375,0.7058823529411765,0.8103448275862069,0.7283950617283951,0.8033088235294118,0.17521104344903501,0.5254193951039693,12,5,17,47
combined_balanced,28,81,64,17,10.0,0.0,0.9344262295081968,0.890625,0.7647058823529411,0.912,0.8641975308641975,0.8814338235294118,0.11613625964574678,0.37535070032183676,13,4,7,57
combined_balanced,29,81,64,17,1.0,0.5,0.8888888888888888,0.75,0.6470588235294118,0.8135593220338984,0.7283950617283951,0.7950367647058824,0.1931370728280055,0.6065259908888393,11,6,16,48
combined_balanced,30,81,63,18,1.0,0.25,0.9298245614035088,0.8412698412698413,0.7777777777777778,0.8833333333333333,0.8271604938271605,0.9056437389770723,0.13126368563711927,0.416681748336119,14,4,10,53
combined_balanced,31,82,64,18,1.0,1.0,0.9137931034482759,0.828125,0.7222222222222222,0.8688524590163934,0.8048780487804879,0.8663194444444444,0.15003926283969257,0.48014163273916377,13,5,11,53
combined_balanced,32,81,64,17,10.0,0.0,0.8666666666666667,0.8125,0.5294117647058824,0.8387096774193549,0.7530864197530864,0.7141544117647058,0.18509551598205484,0.5513360365856279,9,8,12,52
combined_balanced,33,81,64,17,1.0,0.0,0.9622641509433962,0.796875,0.8823529411764706,0.8717948717948718,0.8148148148148148,0.8860294117647058,0.13889938965257423,0.46005967666938635,15,2,13,51
combined_balanced,34,81,64,17,10.0,0.0,0.9272727272727272,0.796875,0.7647058823529411,0.8571428571428571,0.7901234567901234,0.8483455882352942,0.155110463458374,0.5037005810779958,13,4,13,51
combined_balanced,35,81,63,18,1.0,0.25,0.9074074074074074,0.7777777777777778,0.7222222222222222,0.8376068376068376,0.7654320987654321,0.8359788359788359,0.16262447284677936,0.48071397366249174,13,5,14,49
combined_balanced,36,82,64,18,1.0,0.0,0.8867924528301887,0.734375,0.6666666666666666,0.8034188034188035,0.7195121951219512,0.8168402777777779,0.17197365407630774,0.536692629305103,12,6,17,47
combined_balanced,37,81,64,17,10.0,0.0,0.9354838709677419,0.90625,0.7647058823529411,0.9206349206349206,0.8765432098765432,0.8731617647058824,0.1161665212350149,0.38365655822755446,13,4,6,58
combined_balanced,38,81,64,17,10.0,0.0,0.9787234042553191,0.71875,0.9411764705882353,0.8288288288288288,0.7654320987654321,0.8924632352941176,0.18248736303122728,0.5949615477964386,16,1,18,46
