population,feature,coefficient,mean_contribution,median_contribution,mean_absolute_contribution,intercept,population_n,mean_score,very_high_percent,training_mean_contribution,contribution_shift_vs_training,absolute_contribution_shift
all_calabria,large_polygon_flag,-0.056126006170276105,0.027050906336586793,0.049097180831053716,0.052029443941155225,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,4.375263151232144e-18,0.02705090633658679,0.02705090633658679
all_calabria,log_n_observations,0.05571768113310122,-0.025570859389868358,-0.016360534340885195,0.045449740437964015,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,1.2100337152626397e-16,-0.02557085938986848,0.02557085938986848
all_calabria,small_candidate_flag,-0.12659124029275443,-0.022489448793347154,0.07092678629867319,0.11970570708563946,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,0.0,-0.022489448793347154,0.022489448793347154
all_calabria,complex_boundary_flag,0.015730421769234556,-0.010546814674268311,-0.016855410429513218,0.016420334860185983,1.9277219787460185,40261,0.6849211752387422,44.598991579940886,1.093815787808036e-18,-0.010546814674268313,0.010546814674268313
central_calabria,ndvi_iqr,1.5554479091396838,-0.47829872608127155,-0.6721115171623275,1.3349528096933494,1.9277219787460185,19796,0.6723488241296132,42.65508183471408,2.275136838640715e-16,-0.4782987260812718,0.4782987260812718
central_calabria,ndvi_median,-1.4347931104362968,-0.4601363862275124,-0.5284238934000056,1.3235121188876753,1.9277219787460185,19796,0.6723488241296132,42.65508183471408,8.750526302464288e-17,-0.4601363862275125,0.4601363862275125
central_calabria,log_perimeter_m,1.002005504198885,-0.45347008845900216,-0.6442782975190424,0.8101127842532634,1.9277219787460185,19796,0.6723488241296132,42.65508183471408,-8.969289460025895e-17,-0.45347008845900205,0.45347008845900205
central_calabria,log_n_points,-0.22038536521428279,0.3360672948555683,0.3664744826892599,0.37142691813182727,1.9277219787460185,19796,0.6723488241296132,42.65508183471408,-1.728228944736697e-16,0.33606729485556847,0.33606729485556847
central_calabria,bsi_iqr,1.2312237797349315,-0.31086832774767875,-0.45738256933898414,0.9843561416261642,1.9277219787460185,19796,0.6723488241296132,42.65508183471408,4.2877578882075013e-16,-0.3108683277476792,0.3108683277476792
central_calabria,evi_median,0.6872378353652027,0.27344633345285546,0.23519907898574755,0.6108102556243272,1.9277219787460185,19796,0.6723488241296132,42.65508183471408,5.687842096601788e-17,0.2734463334528554,0.2734463334528554
central_calabria,ndmi_median,1.0608471746443235,0.26631704824058566,0.2785310588072741,0.9345771916258663,1.9277219787460185,19796,0.6723488241296132,42.65508183471408,-1.400084208394286e-16,0.26631704824058583,0.26631704824058583
central_calabria,bsi_stddev,1.8187351884986924,-0.20862224299921608,-0.42237923572529446,1.4774781434543998,1.9277219787460185,19796,0.6723488241296132,42.65508183471408,4.375263151232144e-16,-0.20862224299921653,0.20862224299921653
