threshold,selected_n,selected_percent,precision,recall,specificity,npv,f1,tn,fp,fn,tp,youden_j
0.25,381,93.8423645320197,0.8188976377952756,0.9780564263322884,0.20689655172413793,0.72,0.8914285714285715,18,69,7,312,0.1849529780564263
0.26,380,93.59605911330048,0.8210526315789474,0.9780564263322884,0.21839080459770116,0.7307692307692307,0.8927038626609443,19,68,7,312,0.1964472309299896
0.27,379,93.34975369458128,0.820580474934037,0.9749216300940439,0.21839080459770116,0.7037037037037037,0.8911174785100286,19,68,8,311,0.19331243469174497
0.28,379,93.34975369458128,0.820580474934037,0.9749216300940439,0.21839080459770116,0.7037037037037037,0.8911174785100286,19,68,8,311,0.19331243469174497
0.29,378,93.10344827586206,0.8227513227513228,0.9749216300940439,0.22988505747126436,0.7142857142857143,0.8923959827833573,20,67,8,311,0.2048066875653083
0.3,376,92.61083743842364,0.8271276595744681,0.9749216300940439,0.25287356321839083,0.7333333333333333,0.8949640287769784,22,65,8,311,0.2277951933124347
0.31,373,91.87192118226602,0.8284182305630027,0.9686520376175548,0.26436781609195403,0.696969696969697,0.8930635838150289,23,64,10,309,0.23301985370950895
0.32,373,91.87192118226602,0.8284182305630027,0.9686520376175548,0.26436781609195403,0.696969696969697,0.8930635838150289,23,64,10,309,0.23301985370950895
0.33,372,91.62561576354679,0.8279569892473119,0.9655172413793104,0.26436781609195403,0.6764705882352942,0.8914616497829233,23,64,11,308,0.22988505747126453
0.34,372,91.62561576354679,0.8279569892473119,0.9655172413793104,0.26436781609195403,0.6764705882352942,0.8914616497829233,23,64,11,308,0.22988505747126453
0.35,370,91.13300492610837,0.8297297297297297,0.9623824451410659,0.27586206896551724,0.6666666666666666,0.8911465892597968,24,63,12,307,0.23824451410658298
0.36,370,91.13300492610837,0.8297297297297297,0.9623824451410659,0.27586206896551724,0.6666666666666666,0.8911465892597968,24,63,12,307,0.23824451410658298
0.37,370,91.13300492610837,0.8297297297297297,0.9623824451410659,0.27586206896551724,0.6666666666666666,0.8911465892597968,24,63,12,307,0.23824451410658298
0.38,367,90.39408866995073,0.8365122615803815,0.9623824451410659,0.3103448275862069,0.6923076923076923,0.8950437317784257,27,60,12,307,0.2727272727272727
0.39,366,90.14778325123153,0.8387978142076503,0.9623824451410659,0.3218390804597701,0.7,0.8963503649635036,28,59,12,307,0.284221525600836
0.4,362,89.16256157635468,0.8453038674033149,0.9592476489028213,0.3563218390804598,0.7045454545454546,0.8986784140969163,31,56,13,306,0.3155694879832811
0.41,362,89.16256157635468,0.8453038674033149,0.9592476489028213,0.3563218390804598,0.7045454545454546,0.8986784140969163,31,56,13,306,0.3155694879832811
0.42,362,89.16256157635468,0.8453038674033149,0.9592476489028213,0.3563218390804598,0.7045454545454546,0.8986784140969163,31,56,13,306,0.3155694879832811
0.43,361,88.91625615763546,0.8448753462603878,0.9561128526645768,0.3563218390804598,0.6888888888888889,0.8970588235294118,31,56,14,305,0.31243469174503646
0.44,359,88.42364532019704,0.8467966573816156,0.9529780564263323,0.367816091954023,0.6808510638297872,0.8967551622418879,32,55,15,304,0.32079414838035536
0.45,359,88.42364532019704,0.8467966573816156,0.9529780564263323,0.367816091954023,0.6808510638297872,0.8967551622418879,32,55,15,304,0.32079414838035536
0.46,358,88.17733990147784,0.8463687150837989,0.9498432601880877,0.367816091954023,0.6666666666666666,0.8951255539143279,32,55,16,303,0.3176593521421107
0.47,358,88.17733990147784,0.8463687150837989,0.9498432601880877,0.367816091954023,0.6666666666666666,0.8951255539143279,32,55,16,303,0.3176593521421107
0.48,357,87.93103448275862,0.84593837535014,0.9467084639498433,0.367816091954023,0.6530612244897959,0.893491124260355,32,55,17,302,0.3145245559038663
0.49,354,87.192118226601,0.8502824858757062,0.9435736677115988,0.39080459770114945,0.6538461538461539,0.8945022288261516,34,53,18,301,0.3343782654127483
0.5,350,86.20689655172413,0.86,0.9435736677115988,0.4367816091954023,0.6785714285714286,0.8998505231689088,38,49,18,301,0.3803552769070011
0.51,350,86.20689655172413,0.86,0.9435736677115988,0.4367816091954023,0.6785714285714286,0.8998505231689088,38,49,18,301,0.3803552769070011
0.52,347,85.4679802955665,0.8645533141210374,0.9404388714733543,0.45977011494252873,0.6779661016949152,0.9009009009009009,40,47,19,300,0.4002089864158829
0.53,346,85.22167487684729,0.8641618497109826,0.9373040752351097,0.45977011494252873,0.6666666666666666,0.8992481203007519,40,47,20,299,0.39707419017763845
0.54,342,84.23645320197043,0.8625730994152047,0.9247648902821317,0.45977011494252873,0.625,0.8925869894099848,40,47,24,295,0.38453500522466033
